Table 6 28: Costing of the proposed activities for the protection of the forest reserve,,,,
,Proposed intervention,Unit rate,Extent / Length/ No,Total cost (LKR)
1,Community awareness session (one per GND),5000,2,"10,000"
2,Demarcation of the area with the community (Obtain GPS coordinates),5000,2,"10,000"
3,Formation of vigilant committees in the peripheral villages (existing CBO can be used for this),,,
,,Lump Sum,2,"10,000"
4,Erect sign boards to show the area is protected as a water source,5000,02× 02,10 000
5,Map the stream flow pathways downstream from the tank,Lump Sum,2,"20,000"
6,Form a committee linking the protectors above and the users downstream (agriculture),,,
,,Lump Sum,2,"20,000"
7,Purchase and Planting trees,Lump sum,2,"10,000"
,Total,,,"80,000"
