Table 6 37: Cost estimation of livelihood development activities,,,,,,,
Type,Items Needed,GNDs Requested,Number,Unit Cost (LKR),Total Cost (LKR),Contribution (%) from line agency/ GoSL,Final cost to LA/ GoSL (LKR)
Paddy,Tray,"Pattiyagama pallegama-1600, Nawaneliya-8000, Murapola East-40000, Kotagepitiya-40000, Kolombissa east-1500","91,000",80,"7,280,000",50%,"3,640,000"
,Electric fence,"Kiriwanaketiya-8, Pattiyagama pallegama-15, Nawaneliya 60, Murapola east-30, kotagepitiya-120, Kolombissa east-15 (acre)",248,"36,000.00","8,928,000",50%,"4,464,000"
Vegetable,Capsicum,"Kiriwanaketiya-10pattiyagama-5, wanahapuwa-1, nawaneliya-2, Murapola east-5, kotagepitiya-5, Kolambissa east-40, Kolombissa west-5(acre)","11,680","40/perches unit - 20g. 3,000.00","876,000",100%,"876,000"
,Cabbage,"Bopitiya-1, Pattiyagama pallegama-2, wanahapuwa-1, nawaneliya-7, Murapola east-10, Kotagepitiya -10, Kolombissa east-55, (acre)","Perch 13,760/ seeds 220g","40/perches unit - 20g. 6,000.00","2,064,000",100%,"2,064,000"
,Green chili,"Kolombissa west-5, Kolombissa east-63, kotagepitiya-5, Murapola east-10, nawaneliya-5, wanahapuwa-2, Pattiyagama pallegama-5, kiriwanaketiya-20, (acre)","18,400","40/perches unit - 50g. 1,500.00","690,000",100%,"690,000"
,Beans,"Bopitiya-1, kiriwanaketiya-25, Pattiyagama pallegama-5, wanahapuwa-2, nawaneliya-1.5, Murapola east-80, kotagepitiya-30, Kolombissa east-75, Kolombissa west-2(acre)","Perches 34,640","40/perches unit - 1500g. 4,500.00","3,897,000",100%,"3,897,000"
,Tomato,"Kolombissa east-30, kotagepitiya-15, Murapola east-5, nawaneliya-1, wanahapiwa-1, Pattiyagama pallegama-10, kiriwanaketiya-15(acre), ","Perch 12,320","40/perches unit - 10g. 6,000.00","1,848,000",100%,"1,848,000"
Fruits,Banana,"Bopitiya tiwn-250, kiriwanaketiya-500, wanahapuwa-100, nawaneliya-400, Kolombissa east-268, ","Plant 1,518",120,"182,160",100%,"182,160"
,Avocado,"Kolombissa east-268, nawaneliya-100, kiriwanaketiya-200, Bopitiya town-300",Plant 868,200,"173,600",100%,"173,600"
,Mango,"Kolombissa west-40, Kolombissa east-134, nawaneliya-200 kiriwanaketiya-250, Bopitiya town-100",Plant 724,300,"217,200",100%,"217,200"
Export Crops,Coffee,"Pattiyagama pallegama-3000, Kolombissa east-50, ",Plant 3050,30,"91,500",100%,"91,500"
,Pepper,"Pattiyagama pallegama-200, Kolombissa east-2500, kiriwanaketiya-1000","Plant 3,700",40,"148,000",100%,"148,000"
,Vanila,Kiriwanaketiya-200,Plant 200,40,"8,000",100%,"8,000"
,Clove,Kolombissa east-134,Plant-134,130,2334280,100%,"2,334,280"
,Ginger,"Kolombissa east-500, Pattiyagama pallegama-5000","Plant 5,500",18,"99,000",100%,"99,000"
Livestock,No of cow,"Kiriwanaketiya-15, Kolombissa east-20, Pattiyagama pallegama-30, Kolombissa west-4, kotagepitiya-10, Bopitiya town-10, nawaneliya-10, wanahaouwa-15, Murapola east-20",134,"250,000.00","33,500,000",50%,"16,750,000"
,No of goats,"Kiriwanaketiya-10, Kolombissa east-20, Pattiyagama pallegama-150, Kolombissa west-1, kotagepitiya-10, Bopitiya town-20, nawaneliya-10, wanahapuwa-10, Murapola east-25",256,"40,000.00","10,240,000",50%,"5,120,000"
,No of chicks,"Murapola east-125, wanahapuwa-100, nawaneliya-500, Bopitiya town-500, Kolombissa east-2000, Pattiyagama pallegama-300, kiriwanaketiya-30, Kolombissa west-50, kotagepitiya-300","3,905","1,500.00","5,857,500",50%,"2,928,750"
,Incubator,,,"60,000.00",,50%,0
,No of sheds - cow,"Kiriwanaketiya, 15, Kolombissa east-14, Pattiyagama pallegama-30, Kolombissa west-4, kotagepitiya-10, Bopitiya town-5, nawaneliya-26, wanahapuwa-2, Murapola east-20",126,"300,000.00","37,800,000",50%,"18,900,000"
,No of sheds - goat,"Kiriwanaketiya-10, Kolombissa east-20, Pattiyagama pallegama-30, Kolombissa west-1, kotagepitiya-5, Bopitiya town-5, nawaneliya-2, wanahapuwa-3, Murapola east-25",101,"150,000.00","15,150,000",50%,"7,575,000"
Protected Agriculture,Polytunnel,"Nawaneliya-5, Murapola east-2, wanahapuwa-2, Pattiyagama pallegama-25, kiriwanaketiya-10, kotagepitiya-70",114,"1,300,000.00","148,200,000",50%,"74,100,000"
Value added products,Bee keeping (Box 4000/= & 4000/= bees),,,"8,000.00",,75%,0
,Black Pepper making machines (Balancing kit),"Kolombissa east-1, kiriwanaketiya-5",6,"10,000.00","60,000",50%,"30,000"
,White pepper production machines,"Nawaneliya-3, kiriwanaketiya-2",5,"55,000.00","275,000",50%,"137,500"
,Curry powder grinding,"Pattiyagama pallegana-2, Murapola east-2, kotagepitiya-3, kiriwanaketiya-5, Kolombissa east-2, , nawaneliya-2, ",16,"120,000.00","1,920,000",50%,"960,000"
,Jackfruit drying machines,"Kolombissa west-1, kiriwanaketiya-5, Murapola east-5, nawaneliya-3",14,"850,000.00","11,900,000",50%,"5,950,000"
,Ginger slicing machine,Kiriwanaketiya-10,10,"150,000.00","1,500,000",50%,"750,000"
,Areca nut slicing machines,Kiriwanaketiya-10,10,"150,000.00","1,500,000",50%,"750,000"
,Alimana Chopper,,,"14,000.00",,100%,0
Total Cost,,,,,,,"154,683,990"
