Table 6 4: Salient details of first and second tanks in MWS-008-2 ,,,
Tank Name,Medihena Wewa,Wanahapuwa Wewa,Bopitiya Wewa
GN,Pattiyagama Pallegama-1033,Wanahapuwa-1036,Bopitiya Nagaraya-1038
MWS, 008-2, 008-2 ,008-2
DS,Deltota,Deltota,Deltota
District,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya
Ownership,DAD,ID,DAD
Construction,1966-67,2002,
"Location (Lat, Lon)",7.1758 80.7270,"7.1808, 80.7183","7.1859, 80.7101"
Agro-Ecological zone,WM2 ,WM2 ,WM2 
Water Surface Area (approx.) (ha),0.65,1.56,0.21
Tank capacity (m3),8600,72800,3000
Catchment Area (gross) (km2),,,
Total command area (ha),20,over 90,5
Farm Organisation,,,
F.O. registration number,,,
Reservations are available or not,No,No,No
Reservations are marked or not,No,No,No
Bund,Earthen ,Earthen ,Earthen
Bund Length (m),120,100,50
Top width (m),3,4,2
Visible bund height (m),5,15,3
US & DS slopes (h/b),1:2both,"1:2 ,1:2.5",1:1.5both
Availability of rip rap ,-,-,
Spillway,,,
Station (km+m),towards LB,LB end,towards LB
Type,Natural,CO (Horse Shoe),Natural
Length (m),3,20,8
Observed Afflux (m),0.3,0.1,0.15
Duration of spilling (days),7,45-60,7
Sluices,,,
No of Sluices (nos),1,2,1
Station/s (km+m),0+090,0+010,0+40
Type/s,Tower,Tower,Tower
Barrel size/s (mm),225,450,150
Command area of the sluice (ha),20,Over 80,5
Observations / Damages,Good condition,Good condition,Good condition
Recommendation,1. Provide a Vetiver grass edge along the HFL boundary /road /track,1. Provide a Vetiver grass edge along the HFL boundary/ road/ track,1. Provide a Vetiver grass edge along the HFL boundary /road/track
,"2. Provide a 2500 sqm reservation and plant dense, randomly mixed potential natural vegetation, an agave, areca, vetiver plantation along the perimeter, and a few varieties of fruits and spices.","2. Provide a 5000 sqm reservation and plant dense randomly mixed potential natural vegetation, agave, areca, and vetiver plantation along the perimeter with a few varieties of fruits and spices.","2. Provide a 500 sqm reservation and plant a dense, randomly mixed potential natural vegetation belt with an agave, areca, and vetiver plantation along the perimeter and a few varieties of fruits and spices."
,,,3. Excavate and remove silt about 300 Cu.m
