Table 6 40: Expenditure Estimate for training programs,,,,,,,,
No,Activity,Number of trainings,Duration in Days,Total # of Participants,Total cost (LKR),Con. From DSD(LKR),Project Con. (LKR),Proposed training Partner
1,"Project Awareness and Orientation Program (MWS-001,002, 006 and 008)",Budget was allocated under MWS-001 (Deltota),,,,,,PMU
2,Training of Trainers (for selected officers at DSD level),Budget was allocated under MWS-001 (Deltota),,,,,,DOA/TBD
3,Water Management Training for the Development officer of DAD ,Budget was allocated under MWS-003 Pathahewaheta,,,,,,
4,Agriculture productivity improvement training for ARPAs and EDOs,Budget was allocated under MWS-001 (Deltota),,,,,,NRMC + DEA
5,Good Practices of Agrochemical Application Training for ARPA and EDOs,Budget was allocated under MWS-001 (Deltota),,,,,,DOA/ NRMC /University 
6,Climate Change Adaptation Training for MWMC (including Technical committee members),1,1,27,"69,030","2,500","66,530",DOA/University 
7,Construction Supervisory – Basic Training for Economic Development Officers,Budget was allocated under MWS-001 (Deltota),,,,,,District Engineer of District Secretariat 
8,Training EDOs and SDO to conduct cascading training on Financial Literacy and Household Money Management (ToT),Budget was allocated under MWS-001 (Deltota),,,,,,CBSL Matale Regional office/CBSL HO
9,Water Quality Parameters and Testing Training for EDO ,Budget was allocated under MWS-001 (Deltota),,,,,,NWS&DB/NRMC
10,Training for Teachers on Environmental Conservation and Social Responsibility: Protecting the Environment,Budget was allocated under MWS-001 (Deltota),,,,,,DOA/ NRMC/University 
Training for Communities,,,,,,,,
11,"Exposure Visits to “A Park” for GPC, MDMWMC Members and Farmer Leaders Selected by ARPA. One visit/GND",10,1,400,"718,000",-,"718,000",Agriculture Park DoA
12,Soil and Water Conservation Training for GPC Community Members and identified Farmers. One Training/GND,10,1,400,"609,000",-,"609,000",Natural Resources Management Center/DOA
13,Good Practices in Agrochemicals Application for GPC Community Members and Identified Farmers,10,1,400,"598,500",-,"598,500",DOA
14,Established Farmer Field School ,Budget was allocated under MWS-001 (Deltota),,,,,,AI & EDO
15,Conduct Field Day for Soil and Water Conservation Practice for GPC Community leaders and Farmers,10,1,400,"318,000",-,"318,000","AI, ARPA and EDO/ NRMC"
16,"Field Day is for best practices in the usage of pesticides, integrated pest control, and fertilizer applications for GPC community members and identified farmers. One training/GND",10,1,400,"318,000",-,"318,000","AI, ARPA and EDO"
17,Household Waste Disposal and Utilization (Compost and biogas preparation) for GPC members and farmers. One training/DSD,10,1,500,"662,000",-,"662,000",DOA/NRMC
18,Green Skill and Green Technology Concept for Youth and GPC members ,10,1,300,"664,000","25,000","639,000",DOA
19,Training on Financial Literacy and Household Money Management for Families Selected for Livelihood Development under the Project and Selected Members of Women Development Organizations (WDOs),10,1,400,"383,000",-,"383,000", EDOs &SDO
20,Conduct Refresher Training on Household Money Management for GPC and Community Members ,10,1,400,"269,000",-,"269,000",EDO and SDO
21,Climate Change Adaptation training for GPC and selected farmers,10,1,400,"511,000",-,"511,000","AI, EDO"
22,Conduct Field Day on Climatic Training Adaptation,10,1,400,"298,000",-,"298,000",AI & EDO
23,Career Guidance & Career Fair Event (Deltota DSD) ,Budget was allocated under MWS-001 (Deltota),,,,,,Skills Development Officer & Human Resources Development Assistant of DSD
24,Gender and Social Inclusion Training ,1,1,84,"93,060","2,500","90,560",TBD
25,Training for school children on Environmental Conservation and Social Responsibility: Protecting the Environment- For Student (Grade 11 and Above at Deltota DSD,Budget was allocated under MWS-001 (Deltota),,,,,,
26,Community Training on Forest Conservation,Budgeted Under forest plan,,,,,,Forest Department
27,Community Training - livelihood and Marketing,,,,"1,465,000",,"1,465,000",
,Total Estimated Budget ,112,,"4,511","6,975,590","30,000","6,945,590",
