No. ,GN Division No.,GN Division,Point sources of pollution ,N,E,Non-point sources of pollution ,N or Y,E or X,Recommended water quality improvement measures,No. of Toilets needed,Unit Cost (Rs.),Total Cost (Rs.),"Contributions (Local Community, LA, Project)",Time frame for the implementation
1,946,Uduwela Udagama East,N/A,N/A,N/A,Addition of household waste/garbage to Boholu Ambe Water Source,7.245988,80.645572,"Awareness programmes
Introducing methods to convert household waste into organic fertilizers",,,"50,000.00","Labour and other basic services by the Local community
Water quality analysis by NWSDB/WRB
Local/Central governments","0.5 Years
0.5 Years"
2,947,Uduwela Udagama West,N/A,N/A,N/A,Addition of human waste and garbage of line houses/estate houses to Elleena Kandura,7.245714,80.634956,Awareness programmes,,,"50,000.00",Labour and other basic services by the Local community,0.5 Years
2,947,Uduwela Udagama West,N/A,N/A,N/A,Addition of household waste/garbage to Hunugale Pihilla Kanadura,7.1448827,80.3810731,Providing toilet facility to line-houses/estate houses,10,,,Funded by the project,0.5 Years
2,947,Uduwela Udagama West,N/A,N/A,N/A,Addition of household waste/garbage to Hunu Pihilla/Galaha Road,7.248413,80.634607,Preparation of place for collecting household wastes/garbage properly,,,"100,000.00",Local/Central governments ,0.25 Years
4,949,Uduwela Pallegama East,N/A,N/A,N/A,Addition of waste and animal excreta to Inkandura Water Project ,7.24873,80.66143,"Covered with a mesh
Regular water quality analysis - 3 samples, every six months",,"
25000"," 300000
450000 ","Labour and other basic services by the Local community
Funded by the project
Water quality analysis by NWSDB/WRB","0.25 Years
3 Years"
6,951,Ratemulla,N/A,N/A,N/A,Addition of plastic and polythene into the water source 04,7.226422,80.6496,Preparation of place for collecting household wastes/garbage properly,,,"100,000.00",District Secretariats and Divisional Secretariats ,0.25 Years
7,952,Monarangala,N/A,N/A,N/A,Addition of wastes/garbage at the Monarangala 3rd post bridge ,7.26,80.65,Awareness on how to use pesticides safely,,,"50,000.00",Labour and other basic services by the Local community,0.25 Years
8,953,Wathuliyadda,N/A,N/A,N/A,Addition of household waste into water paths,7.1541421,80.3855615,Awareness programmes,,,"50,000.00",Labour and other basic services by the Local community,0.25 Years
8,953,Wathuliyadda,N/A,N/A,N/A,Additon of garbage to water paths/Hommare Ela,7.1535286,80.390102,"Regular water quality analysis - 3 samples, every six months",,"25,000.00","450,000.00",Water quality analysis by NWSDB/WRB,3 Years
10,955,Galthenna,N/A,N/A,N/A,Addition of animal excreata and other wastes to Galthenna Water Source,7.15152,80.384401,"Covering with mesh and building a gutter/concreated
Regular water quality analysis - 3 samples, every six months",," 
25000 "," 200000
450000 ","Labour and other basic services by the Local community
Funded by the project
Water quality analysis by NWSDB/WRB","0.25 Years
3 years"
11,962,Nehiniwela,N/A,N/A,N/A,Addition of household waste into Imbulhitiyawa Ela,7.1518988,80.4020618,"Preparation of place for collecting household wastes/garbage properly
Awareness programmes",,," 100000
50000 ",,"0.25 Years
0.25 Years"
12,963,Godampitiya,N/A,N/A,N/A,Addition of household waste and solid waste into stream,7.25027,80.67631,"Preparation of place for collecting household wastes/garbage properly
Awareness programmes",,,"100,000.00","Local/Central governments 
Funded by the project","0.25 Years
0.25 Years"
15,967,Ethulgama North,N/A,N/A,N/A,Addition of cow dung to Gedarakumbura Ela,7.24,80.67,Awareness on how to use pesticides safely,,,"50,000.00",Labour and other basic services by the Local community,0.25 Years
15,967,Ethulgama North,N/A,N/A,N/A,Addition of garbage to water paths/kandura,7.24,80.65,,,,,Water quality analysis by NWSDB/WRB,
