No. ,GN Division No.,GN Division,Key Activities proposed for Soil and Water conservation,ON SITE/ OFF SITE,Sub Item No. ,N,E,Quantity,Proposed measure/s,Uniti Cost (Rs.),Total Cost (Rs.),"Contribution (Local Community, LA, and the project)",Time frame for the implementation,
1,946,Uduwela Udagama East,1. Rennovation of Ududampala Kandura as a Leader Drain/Main Drain,OFF,1,7.245996,80.648483,4 km,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,," 400,000.00 ",Labour and other basic services by the Local community/ Shramadana,0.5 Years,
1,946,Uduwela Udagama East,"2. Establishing a Retaining Wall - Near Mr. Sunil Premathilake's house, 40°",ON,1,7.245594,80.647163,30 m x 3 m,Retaining Wall using stones,"2,000.00 m-2"," 180,000.00 ",Funds by the Project,0.25 Years,
1,946,Uduwela Udagama East,"3. Establishing a Retaining Wall - Community Center, Udagama, 60°",ON,1,7.245768,80.646012,6 m x 9 m,Retaining Wall using stones,"2,000.00 m-2"," 108,000.00 ",,0.25 Years,
1,946,Uduwela Udagama East,"4. Establishing a Retaining Wall at Hanthana Temple Road, 60°",ON,1,7.242171,80.640817,10 m x 4 m,Retaining Wall/Side Wall of the bridge,"2,000.00 m-2"," 80,000.00 ",,0.25 Years,
1,946,Uduwela Udagama East,"5. Establishing a Retaining Wall near Udakanda Sangaraja Senasanaya, 50°",ON,1,7.23508,80.636984,3 m x 5 m,Retaining Wall using stones,"2,000.00 m-2"," 30,000.00 ",,0.25 Years,
1,946,Uduwela Udagama East,"6. Rennovation of Leader Drain/Kandura along the road to Devalaya, 65°",OFF,1,7.237172,80.637547,1 km,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,," 100,000.00 ",Labour and other basic services by the Local community/ Shramadana,0.5 Years,
1,946,Uduwela Udagama East,8. Stone terracing the stair case near Udagama Welfare Society/Community Center,OFF,1,7.246716,80.643502,0.15 m x 1.5 m x 1 m,Stone terracing,"2,500.00 m-1"," 562,500.00 ",,0.25 Years,
2,947,Uduwela Udagama West,1. Rennovation of eight (8) Leader Drains,OFF,1,7.24951,80.64201,10.1 km,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,," 1,010,000.00 ",Labour and other basic services by the Local community/ Shramadana,1 Year,
2,947,Uduwela Udagama West,1. Rennovation of eight (8) Leader Drains,OFF,2,7.24836,80.63963,,,,,,,
2,947,Uduwela Udagama West,1. Rennovation of eight (8) Leader Drains,OFF,3,7.245714,80.634956,,,,,,,
2,947,Uduwela Udagama West,1. Rennovation of eight (8) Leader Drains,OFF,4,7.249594,80.63376,,,,,,,
2,947,Uduwela Udagama West,1. Rennovation of eight (8) Leader Drains,OFF,5,7.24968,80.632208,,,,,,,
2,947,Uduwela Udagama West,1. Rennovation of eight (8) Leader Drains,OFF,6,7.25084,80.641876,,,,,,,
2,947,Uduwela Udagama West,1. Rennovation of eight (8) Leader Drains,OFF,7,7.25022,80.638154,,,,,,,
2,947,Uduwela Udagama West,1. Rennovation of eight (8) Leader Drains,OFF,8,7.144882,80.381073,,,,,,,
2,947,Uduwela Udagama West,"2. Soil and mointure conservation measures in Ellenakumbura Home Garden, 25°",ON,,7.24867,80.64339,2 ha,"Lock and spills
Live fencing/SALT","400.00 m-1
250.00 m-1 "," 800000
500000 ","Guidance by NRMC
Funds by the Project",0.25 Years,
2,947,Uduwela Udagama West,"3. Soil and moisture conservation measures in Ethulgama Upalihimi Shri Sobhitharamaya, 60°",ON,1,7.252495,80.640101,1 ha,Live fencing/SALT,250.00 m-1," 250,000.00 ",,0.25 Years,
2,947,Uduwela Udagama West,"4. Soil and moisture conservation measures in Udagama, already cultivated, 60°",ON,1,7.24713,80.64234,0.1 ha,Live fencing/SALT,250.00 m-1," 2,500.00 ",,0.25 Years,
2,947,Uduwela Udagama West,"5. Establishing a Retaining Wall with stones Uduwela, Diddeniya (Upper)",OFF,1,7.24711,80.64273,6 m x 7.5 m,Retaining Wall using stones,"2,000.00 m-2"," 90,000.00 ",,0.25 Years,
2,947,Uduwela Udagama West,"6. Establishing a Retaining Wall with stones, Ellana Kumbura Road, 70°",OFF,1,7.24861,80.64304,15 m x 6 m,Retaining Wall using stones,"2,000.00 m-3"," 180,000.00 ",,0.25 Years,
3,948,Uduwela Pallegama South,"1. Establishing a Retaining Wall with stones/Water Source at the land of Mr. Karunapala, 30°",ON,1,7.1524435,80.052539,25 m x 0.5 m,Retaining Wall using stones,"2,000.00 m-2"," 25,000.00 ",Labour and other basic services by the Local community/ Shramadana,0.25 Years,
3,948,Uduwela Pallegama South,"2. Rennovation of Leader Drain/Akkaragala Kandura, Mrs. Gnanawathi ",OFF,1,7.151943,80.39145,450 m,Clearing and planting some trees along the banks (Aracanut) and other conservation practices,," 45,000.00 ",Labour and other basic services by the Local community/ Shramadana,0.25 Years,
3,948,Uduwela Pallegama South,3. Establishing a soil bund,ON,1,,,80 m,Soil Bund,400.00 m-1," 32,000.00 ",Funds by the Project,0.25 Years,
3,948,Uduwela Pallegama South,"4. Soil and water conservation measures in the land of Mrs. N.K.G. Leelawathi, 25°",ON,1,7.151748,80.399708,2.5 ha,"Lock and spills
Live fencing/SALT","400.00 m-1
250.00 m-1 "," 1000000
625000 ",,0.25 Years,
3,948,Uduwela Pallegama South,"5. Soil and water conservation at the land of Mr. Herbert Jayasinghe, 65°",ON,1,7.1518748,80.3912973,1.5 ha,Live fencing/SALT,250.00 m-1," 375,000.00 ",,0.25 Years,
3,948,Uduwela Pallegama South,"6. Soil and water conservation at the land of Mr. Siri Sugath Ranasinghe, 70°",ON,1,7.1518034,80.3912934,0.5 ha,Live fencing/SALT,250.00 m-1," 125,000.00 ",,0.25 Years,
3,948,Uduwela Pallegama South,"7. Soil and water conservation at the lands of Akaragala (Middle), 65°",ON,1,7.1518847,80.3912307,2 ha ,Live fencing/SALT,250.00 m-1," 500,000.00 ",,0.25 Years,
