ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Discription,Download,geojson,Year,Title,Abstract,Data Type,Keywords,Geographic Extent,Scale,Temporal Coverage,Publication Date,Version,Data Provider,Contact Name,Email Address,Phone Number,Address,Data Source,Accuracy,Limitations,Resolution,Coordinate System,Datum,Vertical Datum,Access Constraints,Use Constraints,Data Format,File Size,Download Link,Process Steps,Metadata Creator,Metadata Date,Metadata Standard,Related Publications,Supplementary Info
1,MWS-004-2,Base Layers,Administration,District Boundary,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/01_ADM/Districts/EXD_01_ADM_ DIS_KANDY _poly_v1.geojson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,MWS-004-2,Base Layers,Administration,DSD Boundary,,SD,Raw,Yes,Vector,,https://docs.google.com/spreadsheets/d/1j_3yvrEsH5C0DnXzB-6eZzT0OWNMf-7Q/edit?usp=drive_link&ouid=111144810877791116933&rtpof=true&sd=true,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/01_ADM/DSD/EXD_01_ADM_DSD_PATHAHEWAHETA.geojson,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,MWS-004-2,Base Layers,Administration,GN Boundary,,SD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/01_ADM/GND/MWS_004_2.geojson,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,MWS-004-2,Base Layers,Land cover,Land cover,,LUPPD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/04_LND/LND_LULC/LND_LULC_MWS_004_2.geojson,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MWS-004-2,Base Layers,Reservation,Environmental protection area,,FD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/03_RSV/RSV_FRC_TF/RSV_FRC_TF_MWS_004_2.geojson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,MWS-004-2,Base Layers,Reservation,Reserved forest,,FD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/03_RSV/RSV_FRC_RF/RSV_FRC_RF_UMW.geojson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MWS-004-2,Base Layers,Reservation,Conservation forest,,FD,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/03_RSV/RSV_FRC_CNF/RSV_FRC_CNF_UMW.geojson,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MWS-004-2,Base Layers,Reservation,Wild life boundary,,DWLLC,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/03_RSV/RSV_DWC/RSV_DWC_UMW.geojson,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,MWS-004-2,Detail Layers,Topography,Spote height,,MASL,Raw,Yes,Vector,,google drive,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,MWS-004-2,Detail Layers,Topography,Contour,,MASL,Raw,Yes,Vector,,google drive,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,UMW,Raster Layers,Topography,DEM,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/Elevation.png,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,UMW,Raster Layers,Topography,Slope,,IWMI-IWWRMP,Derive,Yes,Raster,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Derive/slope.png,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,MWS-004-2,Base Layers,Soil,Soil type,,NRMC,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/05_SOL/SOIL_SLT/SOIL_SLT_MWS_004_2.geojson,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,MWS-004-2,Base Layers,Soil,Agro-ecological zone,,NRMC,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/10_MET/Agro_Eco_Zone/Agro_Eco_Zone_MWS_004_2.geojson,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,MWS-004-2,Base Layers,Risk and Hazard,Landslide hazard zone,,NBRO,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/11_HZR/HZR/ED_11_HZR_MWS_004_2.geojson,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MWS-004-2,Base Layers,Risk and Hazard,Flood,,DMLC,Raw,Yes,Vector,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MWS-004-2,Raster Layers,Risk and Hazard,Forest Fire,,IWMI-IWWRMP,Derive,Yes,Vector,,,NA,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,UMW,Raster Layers,Risk and Hazard,Soil erosion hazard,,IWMI-IWWRMP,Derive,Yes,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,UMW,Raster Layers,Location ,Building dencity ,,IWMI-IWWRMP,Derive,Yes,Raster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,MWS-004-2,Base Layers,Demography,Population,,RP,Raw,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/07_SED/SED_PPL/SED_PPL_MWS_004_2.geojson,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,MWS-004-2,Detail Layers,Hydrology,Stream network,,IWMI-IWWRMP,Derive,Yes,Vector,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/EXD/02_HYD/HYD_DRN/HYD_DRN_MWS_004_2.geojson,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
