ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Description,Download,geojson,Year,Title,Abstract,Data Type,Keywords,Geographic Extent,Scale,Temporal Coverage,Publication Date,Version,Data Provider,Contact Name,Email Address,Phone Number,Address,Data Source,Accuracy,Limitations,Resolution,Coordinate System,Datum,Vertical Datum,Access Constraints,Use Constraints,Data Format,File Size,Download Link,Process Steps,Metadata Creator,Metadata Date,Metadata Standard,Related Publications,Supplementary Info
1,MWS-007-1,Base,Administration,District Boundary,,SD,Raw,Yes,Vector,,,,2019,District boundary dataset,Dataset represents the district boundaries demarcated in 2019 within the Upper Mahaweli Watershed ,Vector,"Districts, Sri Lanka, Administrative","North: 568655.811800 m, South: 449324.841700 m , East: 554960.629000 m, West: 461077.725100 m",1:10000,2019,2019,Version 1.0,Survey Department of Sri Lanka,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
2,MWS-007-1,Base,Administration,DSD Boundary,,SD,Raw,Yes,Vector,,,,2019,Divisional Secretariat Division Boundary,Dataset represents the divisional secretariat division boundaries demarcated in 2019 within the Upper Mahaweli Watershed ,Vector,"Divisional Secretariat Divisions, Sri Lanka, Administrative","North: 568655.811800 m, South: 449324.841700 m , East: 554960.629000 m, West: 461077.725100 m",1:10000,2019,2019,Version 1.0,Survey Department of Sri Lanka,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
3,MWS-007-1,Base,Administration,GN Boundary,,SD,Raw,Yes,Vector,,,,2019,Grama Niladhari Division boundary,Dataset represents the grama niladhari division boundaries demarcated in 2019 within the Upper Mahaweli Watershed ,Vector,"Grama Niladhari Divisions, Sri Lanka, Administrative","North: 568655.811800 m, South: 449324.841700 m , East: 554960.629000 m, West: 461077.725100 m",1:10000,2019,2019,Version 1.0,Survey Department of Sri Lanka,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
4,MWS-007-1,Base,Land cover,Land cover,,LUPPD,Raw,Yes,Vector,,,,2019,Land Use/Land Cover,Dataset represents Land Use/Land Cover distribution within the Upper Mahaweli Watershed,Vector,"Land Use, Land Cover, Sri Lanka","North: 528646.495237 m, South: 522884.706137 m , East: 498366.557573 m, West: 492414.038173 m",1:10000,2019,2019,Version 1.0,Land Use and Policy Planning Department,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
5,MWS-007-1,Base,Reservation,Environmental protection area,,FD,Raw,Yes,Vector,,,,2019,Environmental Protection Areas,Dataset represents Environmental Protection areas within the Upper Mahaweli Watershed as declared by Central Environmental Authority,Vector,Environmental Protection Area,"North: 528646.495237 m, South: 522884.706137 m , East: 498366.557573 m, West: 492414.038173 m",1:10000,2019,2019,Version 1.0,Forest Department,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
6,MWS-007-1,Base,Reservation,Reserved forest,,FD,Raw,Yes,Vector,,,,2019,Reserved forests,Dataset represents Reserved forests distribution within the Upper Mahaweli Watershed,Vector,"Reserved forests, Sri Lanka","North: 528646.495237 m, South: 522884.706137 m , East: 498366.557573 m, West: 492414.038173 m",1:10000,2019,2019,Version 1.0,Forest Department,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
7,MWS-007-1,Base,Reservation,Conservation forest,,FD,Raw,Yes,Vector,,,,2019,Conservation Forest,Dataset represents conservation forest distribution within the Upper Mahaweli Watershed,Vector,Conservation forest,"North: 528646.495237 m, South: 522884.706137 m , East: 498366.557573 m, West: 492414.038173 m",1:10000,2019,2019,Version 1.0,Forest Department,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
8,MWS-007-1,Base,Reservation,Wild life boundary,,DWC,Raw,Yes,Vector,,,,2019,Wildlife boundary,Dataset represents wildlife distribution within the Upper Mahaweli Watershed,Vector,Wildlife,"North: 528646.495237 m, South: 522884.706137 m , East: 498366.557573 m, West: 492414.038173 m",1:10000,2019,2019,Version 1.0,Department of Wildlife Conservation,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
9,MWS-007-1,Detail,Topography,Spot height,,MASL,Raw,Yes,Vector,,,,2010,,,Vector,Spot heights,"North: 528646.495237 m, South: 522884.706137 m , East: 498366.557573 m, West: 492414.038173 m",,,,,,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
10,MWS-007-1,Detail,Topography,Contour,,MASL,Raw,Yes,Vector,,,,2010,,,Vector,,"North: 528646.495237 m, South: 522884.706137 m , East: 498366.557573 m, West: 492414.038173 m",,,,,,,,,,,,,,SLD99 Sri Lanka Grid 1999,Sri Lanka Datum 1999,,,,Shapefile,,,,,,,,
